player,year,team,age,att,yac_att_stab,brk_rate_stab,ol_adj_ybc_stab,LINX_stab
Kenneth Walker III,2024,SEA,24,153,1.9194,0.0806,-0.0736,-0.4257
Kyren Williams,2024,LAR,24,316,1.996,0.084,0.1028,0.1057
Najee Harris,2024,PIT,26,263,2.1105,0.0875,-0.1596,0.0841
Nick Chubb,2024,CLE,29,102,1.9738,0.0642,-0.1654,-0.7583
Rachaad White,2024,TAM,25,144,2.0306,0.0525,-0.2038,-0.9105
Ray Davis,2024,BUF,25,113,2.0863,0.0632,-0.1377,-0.4464
Rhamondre Stevenson,2024,NWE,26,207,2.0961,0.0738,0.0161,0.0278
Rico Dowdle,2024,DAL,26,235,2.1541,0.0569,0.1583,0.0435
Saquon Barkley,2024,PHI,27,345,1.987,0.0548,0.2626,-0.2789
Tank Bigsby,2024,JAX,23,168,2.443,0.0754,-0.0366,0.8854
Tony Pollard,2024,TEN,27,260,2.157,0.0766,0.0678,0.3219
Travis Etienne,2024,JAX,25,150,1.8362,0.0659,0.0788,-0.7175
Tyler Allgeier,2024,ATL,24,137,2.2415,0.0593,-0.1605,-0.1557
Tyrone Tracy Jr.,2024,NYG,25,192,1.9286,0.0505,0.1942,-0.623
Zach Charbonnet,2024,SEA,23,135,2.1459,0.0804,-0.0049,0.2624
Aaron Jones,2025,MIN,31,132,1.9715,0.05,0.1004,-0.3876
Alvin Kamara,2025,NOR,30,131,1.709,0.0555,0.1762,-0.8288
Ashton Jeanty,2025,LVR,22,266,2.0617,0.0787,0.0212,0.3325
Bijan Robinson,2025,ATL,23,287,2.2438,0.0732,0.1964,0.9587
Blake Corum,2025,LAR,25,145,1.8602,0.0716,0.193,-0.071
Breece Hall,2025,NYJ,24,243,1.9787,0.0533,0.0619,-0.3599
Bucky Irving,2025,TAM,23,173,2.0272,0.0598,-0.1563,-0.4359
Cam Skattebo,2025,NYG,23,101,1.9826,0.0654,-0.0041,-0.194
Chase Brown,2025,CIN,25,232,2.0002,0.0746,0.0457,0.1234
Chris Rodriguez,2025,WAS,25,112,2.3646,0.0823,-0.1807,0.8759
Christian McCaffrey,2025,SFO,29,311,1.7458,0.0432,0.0149,-1.2467
Chuba Hubbard,2025,CAR,26,134,1.966,0.0445,-0.0441,-0.7429
D'Andre Swift,2025,CHI,26,223,1.8774,0.0518,0.1064,-0.5815
David Montgomery,2025,DET,28,158,2.1887,0.0571,-0.4191,-0.4859
De'Von Achane,2025,MIA,24,238,2.5629,0.0746,0.3784,2.0939
Derrick Henry,2025,BAL,31,307,2.3915,0.0718,0.0402,1.0655
Devin Singletary,2025,NYG,28,119,1.8913,0.0542,-0.1246,-0.8551
Emanuel Wilson,2025,GNB,26,125,2.153,0.0644,0.0147,0.2523
Isiah Pacheco,2025,KAN,26,118,1.8805,0.0452,0.1579,-0.634
J.K. Dobbins,2025,DEN,27,153,2.3065,0.0764,0.2048,1.2004
