year,player,team,age,att,yac_att,brk_rate,ybc_att,ol_adj_ybc,ypc_above_team
2024,Bucky Irving,TAM,22,207,2.686,0.058,2.7343,0.3004,0.3255
2024,Rhamondre Stevenson,NWE,26,207,2.0821,0.0676,1.7874,0.0041,-0.1332
2024,De'Von Achane,MIA,23,203,2.0739,0.0345,2.3941,0.3,0.4599
2024,Kareem Hunt,KAN,29,200,1.645,0.035,1.995,-0.0161,-0.0174
2024,J.K. Dobbins,LAC,26,195,2.5077,0.1231,2.1333,0.3559,0.582
2024,Tyrone Tracy Jr.,NYG,25,192,1.7083,0.0313,2.6615,0.3605,0.2726
2024,Brian Robinson Jr.,WAS,25,187,2.2513,0.0535,2.0214,-0.1481,-0.247
2024,David Montgomery,DET,27,185,2.3135,0.1027,1.8757,-0.777,-0.7522
2024,Tank Bigsby,JAX,23,168,2.8036,0.0833,1.756,-0.1212,0.3681
2024,Jordan Mason,SFO,25,153,2.2745,0.085,2.8824,0.358,0.2849
